Crossing,Adopted Flow,Barrels,Diameter (m)
1b-01,2.32,3,0.9
1b-02,2.43,3,0.9
1b-03,37.2,6,1.8
1b-04,2.43,3,0.9
1b-05,37.8,6,1.8
1b-06,4,2,1.2
1b-06a,2.66,2,1.2
1b-06b,2.17,3,0.9
1b-06c,2.94,2,1.2
1b-07,8.41,2,1.5
1b-08,5.59,2,1.5
1b-09,2.36,3,0.9
1b-10,2.74,3,0.9
1b-10a,2.23,3,0.9
1b-11,3.26,4,0.9
1b-12,3.14,3,0.9
1b-13,66.2,10,1.8
1b-14,73.8,11,1.8
2b-01,5.79,3,1.2
2b-02,12.5,2,1.8
2b-03,6.6615,2,1.5
2b-04,8.93,2,1.8
2b-05,4.85,2,1.5
2b-06,38.1,6,1.8
2b-07,10.7,2,1.8
2b-08,8.59,2,1.5
2b-09,66.7,10,1.8
2b-10,74.9,11,1.8
