Crossing,Adopted Flow (m^3/s),Barrels,Diameter (m),Barrel Shape,Barrel Material,Inlet Type,Inlet Edge Type,Span (m),Rise (m),Barrel Length (m),Inlet Invert Elev (m),Outlet Invert Elev (m),Roadway Width (m),Roadway Elevation (m),Tailwater Elevation (m),Status,Error Message,Computed Flow (m^3/s),Headwater Elevation (m),HW:D ratio,Outlet Velocity (m/s),Flow Type,Overtopping,q_from_hw (m^3/s),Flow Error (m^3/s),hw_from_q Workspace,q_from_hw Workspace
3a-100,2.52,2,1.2,Circle,Corrugated Steel,Straight,Thin Edge Projecting,1.2000,1.2000,30.0000,0.1500,0.0000,10.0000,20.0000,0.0000,Success,,2.5200,1.1900,0.8667,2.1800,2-M2c,No,2.5200,0.0000,C:\Temp\hy8\3a-100,C:\Temp\hy8\3a-100
3a-10200,15.2,4,1.5,Circle,Corrugated Steel,Straight,Thin Edge Projecting,1.5000,1.5000,30.0000,0.1500,0.0000,10.0000,20.0000,0.0000,Success,,15.2000,2.0000,1.2333,2.9800,7-M2c,No,15.2000,0.0000,C:\Temp\hy8\3a-10200,C:\Temp\hy8\3a-10200
3a-11500,21.5897,4,2.4,Circle,Corrugated Steel,Straight,Thin Edge Projecting,2.4000,2.4000,30.0000,0.1500,0.0000,10.0000,20.0000,0.0000,Success,,21.5900,1.9000,0.7292,2.8100,2-M2c,No,21.5897,0.0000,C:\Temp\hy8\3a-11500,C:\Temp\hy8\3a-11500
3a-1200,9.3,2,2.4,Circle,Corrugated Steel,Straight,Thin Edge Projecting,2.4000,2.4000,30.0000,0.1500,0.0000,10.0000,20.0000,0.0000,Success,,9.3000,1.7600,0.6708,2.6800,2-M2c,No,9.3000,0.0000,C:\Temp\hy8\3a-1200,C:\Temp\hy8\3a-1200
3a-12500,14.9,3,2.4,Circle,Corrugated Steel,Straight,Thin Edge Projecting,2.4000,2.4000,30.0000,0.1500,0.0000,10.0000,20.0000,0.0000,Success,,14.9000,1.8200,0.6958,2.7400,2-M2c,No,14.9000,0.0000,C:\Temp\hy8\3a-12500,C:\Temp\hy8\3a-12500
3a-13600,12.934,2,2.4,Circle,Corrugated Steel,Straight,Thin Edge Projecting,2.4000,2.4000,30.0000,0.1500,0.0000,10.0000,20.0000,0.0000,Success,,12.9300,2.0900,0.8083,2.9800,2-M2c,No,12.9340,0.0000,C:\Temp\hy8\3a-13600,C:\Temp\hy8\3a-13600
3a-15200,4.349068151,2,1.2,Circle,Corrugated Steel,Straight,Thin Edge Projecting,1.2000,1.2000,30.0000,0.1500,0.0000,10.0000,20.0000,0.0000,Success,,4.3500,1.6600,1.2583,2.6700,7-M2c,No,4.3491,0.0000,C:\Temp\hy8\3a-15200,C:\Temp\hy8\3a-15200
3a-15400,20.8,3,2.4,Circle,Corrugated Steel,Straight,Thin Edge Projecting,2.4000,2.4000,30.0000,0.1500,0.0000,10.0000,20.0000,0.0000,Success,,20.8000,2.1700,0.8417,3.0500,2-M2c,No,20.8000,0.0000,C:\Temp\hy8\3a-15400,C:\Temp\hy8\3a-15400
3a-16700,60,9,2.4,Circle,Corrugated Steel,Straight,Thin Edge Projecting,2.4000,2.4000,30.0000,0.1500,0.0000,10.0000,20.0000,0.0000,Success,,60.0000,2.1200,0.8208,3.0100,2-M2c,No,60.0000,0.0000,C:\Temp\hy8\3a-16700,C:\Temp\hy8\3a-16700
3a-16900,115.0002,17,2.4,Circle,Corrugated Steel,Straight,Thin Edge Projecting,2.4000,2.4000,30.0000,0.1500,0.0000,10.0000,20.0000,0.0000,Success,,115.0000,2.1400,0.8292,3.0200,2-M2c,No,115.0002,0.0000,C:\Temp\hy8\3a-16900,C:\Temp\hy8\3a-16900
